Well,Plate,Compound,Concentration,Replicate,t_0,t_2.08,t_4.16,t_6.24,t_8.32,t_10.4,t_12.48,MIC,Smiles
D17,111-DR1,Z339892772,0.2,E,0,0.181287202974642,0.48513476852369,0.623015176419897,0.740468857220369,0.857922538020842,0.960056173499513,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
D18,111-DR1,Z24763818,50,E,0,0.183840543861609,0.495348132071557,0.643441903515631,0.732808834559469,0.82728244737724,0.919202719308045,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
D19,111-DR1,Z24763818,12.5,E,0,0.188947225635543,0.48513476852369,0.623015176419897,0.753235561655203,0.855369197133875,0.952396150838613,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
D20,111-DR1,Z24763818,3.13,E,0,0.186393884748576,0.505561495619425,0.648548585289565,0.776215629637904,0.896222651325343,0.998356286804015,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
D21,111-DR1,Z24763818,0.781,E,0,0.191500566522509,0.520881540941225,0.668975312385299,0.794089015846672,0.916649378421078,1.02388969567368,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
D22,111-DR1,Z24763818,0.2,E,0,0.181287202974642,0.54130826803696,0.674081994159233,0.801749038507572,0.911542696647144,1.01878301389975,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
E03,111-DR1,Z295866336,50,D,0,0.112346999026539,0.222140657166111,0.242567384261845,0.240014043374878,0.227247338940044,0.217033975392177,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
E04,111-DR1,Z295866336,12.5,D,0,0.155753794104974,0.441727973445255,0.54130826803696,0.602588449324163,0.645995244402598,0.674081994159233,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
E05,111-DR1,Z295866336,3.13,D,0,0.165967157652841,0.525988222715159,0.663868630611366,0.773662288750937,0.89111596955141,1.00090962769098,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
E06,111-DR1,Z295866336,0.781,D,0,0.165967157652841,0.492794791184591,0.645995244402598,0.778768970524871,0.89111596955141,0.998356286804015,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
E07,111-DR1,Z295866336,0.2,D,0,0.178733862087675,0.513221518280325,0.653655267063498,0.778768970524871,0.893669310438377,0.998356286804015,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
E08,111-DR1,Z275747432,50,D,0,0.219587316279144,0.536201586263026,0.6766353350462,0.783875652298805,0.880902606003543,0.975376218821314,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
E09,111-DR1,Z275747432,12.5,D,0,0.176180521200709,0.505561495619425,0.651101926176532,0.760895584316103,0.865582560681742,0.972822877934347,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
E10,111-DR1,Z275747432,3.13,D,0,0.280867497566347,0.62046183553293,0.712382107463735,0.768555606977004,0.809409061168473,0.911542696647144,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
E11,111-DR1,Z275747432,0.781,D,0,0.181287202974642,0.495348132071557,0.645995244402598,0.75578890254217,0.865582560681742,0.97026953704738,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
E12,111-DR1,Z275747432,0.2,D,0,0.337040997079616,0.610248471985063,0.686848698594067,0.722595471011602,0.720042130124635,0.824729106490273,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
E13,111-DR1,Z1708216761,50,D,0,0.0995802945917049,0.344701019740517,0.546414949810893,0.623015176419897,0.707275425689801,0.801749038507572,Inactive,CC1=CN=C(CNS(=O)(=O)C2=CSC(=C2)[N+](=O)[O-])O1
E14,111-DR1,Z1708216761,12.5,D,0,0.150647112331041,0.459601359654022,0.594928426663262,0.704722084802834,0.811962402055439,0.908989355760177,Inactive,CC1=CN=C(CNS(=O)(=O)C2=CSC(=C2)[N+](=O)[O-])O1
E15,111-DR1,Z1708216761,3.13,D,0,0.171073839426775,0.508114836506391,0.658761948837432,0.776215629637904,0.88345594689051,0.988142923256148,Inactive,CC1=CN=C(CNS(=O)(=O)C2=CSC(=C2)[N+](=O)[O-])O1
E16,111-DR1,Z1708216761,0.781,D,0,0.194053907409476,0.505561495619425,0.625568517306864,0.758342243429137,0.873242583342642,0.983036241482214,Inactive,CC1=CN=C(CNS(=O)(=O)C2=CSC(=C2)[N+](=O)[O-])O1
E17,111-DR1,Z1708216761,0.2,D,0,0.181287202974642,0.520881540941225,0.679188675933166,0.809409061168473,0.926862741968945,1.03410305922155,Inactive,CC1=CN=C(CNS(=O)(=O)C2=CSC(=C2)[N+](=O)[O-])O1
E18,111-DR1,Z1172141090,50,D,0,0.183840543861609,0.531094904489092,0.663868630611366,0.791535674959705,0.903882673986244,1.00601630946492,Inactive,CNS(=O)(=O)C=1C=CC(C)=C(NC(=O)NCC=2C=CC=NC2)C1
E19,111-DR1,Z1172141090,12.5,D,0,0.194053907409476,0.497901472958524,0.651101926176532,0.773662288750937,0.893669310438377,0.998356286804015,Inactive,CNS(=O)(=O)C=1C=CC(C)=C(NC(=O)NCC=2C=CC=NC2)C1
E20,111-DR1,Z1172141090,3.13,D,0,0.188947225635543,0.543861608923926,0.6766353350462,0.799195697620605,0.914096037534111,1.01878301389975,Inactive,CNS(=O)(=O)C=1C=CC(C)=C(NC(=O)NCC=2C=CC=NC2)C1
E21,111-DR1,Z1172141090,0.781,D,0,0.191500566522509,0.508114836506391,0.630675199080797,0.75578890254217,0.860475878907808,0.96260951438648,Inactive,CNS(=O)(=O)C=1C=CC(C)=C(NC(=O)NCC=2C=CC=NC2)C1
E22,111-DR1,Z1172141090,0.2,D,0,0.168520498539808,0.533648245376059,0.638335221741698,0.758342243429137,0.870689242455676,0.972822877934347,Inactive,CNS(=O)(=O)C=1C=CC(C)=C(NC(=O)NCC=2C=CC=NC2)C1
F03,111-DR1,Z295866336,50,E,0,0.117453680800472,0.237460702487912,0.252780747809712,0.250227406922745,0.240014043374878,0.232354020713978,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
F04,111-DR1,Z295866336,12.5,E,0,0.163413816765875,0.469814723201889,0.55662831335876,0.61280181287203,0.648548585289565,0.674081994159233,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
F05,111-DR1,Z295866336,3.13,E,0,0.165967157652841,0.525988222715159,0.666421971498332,0.776215629637904,0.886009287777476,0.985589582369181,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
F06,111-DR1,Z295866336,0.781,E,0,0.183840543861609,0.490241450297624,0.62046183553293,0.743022198107336,0.850262515359941,0.944736128177712,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
F07,111-DR1,Z295866336,0.2,E,0,0.171073839426775,0.487688109410657,0.638335221741698,0.766002266090037,0.88345594689051,0.983036241482214,Inactive,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C5CC5)C4=O
F08,111-DR1,Z275747432,50,E,0,0.21448063450521,0.564288336019661,0.691955380368,0.799195697620605,0.901329333099277,1.00346296857795,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
F09,111-DR1,Z275747432,12.5,E,0,0.181287202974642,0.520881540941225,0.6766353350462,0.783875652298805,0.896222651325343,1.00090962769098,Inactive,CN(CC=1C=CC=CC1F)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
