"","Well","Replicate","Compound","t_0","t_6","t_12","Smiles","Plate_ID","Concentration"
"212","E24","OD_A","DMSO",0,0.803305613665047,1.17176397365191,"","1886318-Y12-A084",50
"213","F01","OD_A","DMSO",0,0.584222264483671,1.11865285869885,"","1886318-Y12-A084",50
"214","F02","OD_A","Ciprofloxacin",0.00331944468456631,0.00331944468456631,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"215","F23","OD_A","DMSO",0,0.46804170052385,0.952680624470531,"","1886318-Y12-A084",50
"216","F24","OD_A","DMSO",0,0.527791704846043,1.09873619059145,"","1886318-Y12-A084",50
"217","G01","OD_A","DMSO",0,0.673847270966961,1.17176397365191,"","1886318-Y12-A084",50
"218","G02","OD_A","Ciprofloxacin",0,0.00331944468456631,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"219","G23","OD_A","DMSO",0,0.421569474939921,0.922805622309435,"","1886318-Y12-A084",50
"220","G24","OD_A","DMSO",0,0.68380560502066,1.10537507996058,"","1886318-Y12-A084",50
"221","H01","OD_A","DMSO",0,0.577583375114538,1.14188897149081,"","1886318-Y12-A084",50
"222","H02","OD_A","Ciprofloxacin",0.00331944468456631,0.00331944468456631,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"223","H23","OD_A","DMSO",0,0.441486143047319,0.939402845732266,"","1886318-Y12-A084",50
"224","H24","OD_A","DMSO",0,0.607458377275635,1.10205563527602,"","1886318-Y12-A084",50
"225","I01","OD_A","DMSO",0,0.607458377275635,1.17508341833647,"","1886318-Y12-A084",50
